"Ticker","Company","Country","Exchange","Industry","Gross Profit Margin","Diluted EPS 1Y Growth","Gross Profit 3Y CAGR","Gross Profit 1Y Growth","Free Cash Flow (M)","Total Enterprise Value (TEV) (M)","Stock-Based Compensation (Cash Flow Statement) (M)","Free Cash Flow Margin","Shares Out Growth 3Y (CAGR)","EPS Normalized Actual vs Estimate (Quarterly)","Revenue Actual vs Estimate (Quarterly)","FCF Yield","Forward FCF Yield","Stock Price","TR 1M Performance","YTD Performance","Revenue Forward 2Y CAGR","CapEx to Revenue","PEG Ratio","Market Cap (M)","Buyback Yield","Revenue 3Y CAGR","Operating Margin","Net Debt / EBITDA","Beta","TR 3Y Performance (CAGR)","Diluted EPS 3Y CAGR","EPS Normalized Forward 2Y CAGR","Return on Invested Capital","TR 5Y Performance (CAGR)"
"GIC","Global Industrial Company","US","NYSE","Trading Companies and Distributors","36.4%","31.6%","8.3%","12.7%","$87.30","$1,502.24","$6.80","6.1%","0.1%","8.6%","2.4%","5.9%","6.1%","$38.66","8.1%","32.9%","5.9%","0.0","0.7","$1,490.04","0.9%","7.4%","8.1%","0.1","0.9","7.8%","7.7%","9.5%","23.8%","3.8%"
"TBLA","Taboola.com Ltd.","US","NasdaqGS","Interactive Media and Services","29.7%","1,081.9%","9.5%","6.5%","$217.66","$1,447.60","$62.61","11.2%","-6.8%","50.3%","2.9%","15.0%","14.4%","$3.73","54.6%","17.6%","5.9%","0.0","1.0","$1,446.29","15.7%","12.4%","6.1%","0.0","1.3","30.6%","30.1%","10.9%","10.8%","-12.2%"
"XPEL","XPEL, Inc.","US","NasdaqCM","Automobile Components","42.9%","12.5%","14.1%","15.3%","-$2.89","$1,393.44","$3.27","-0.6%","-0.1%","","5.9%","-0.2%","4.2%","$48.17","9.7%","-2.0%","11.2%","0.2","1.4","$1,358.14","0.5%","12.6%","13.5%","0.3","1.4","-16.0%","3.8%","20.6%","17.7%","-8.5%"
"NVGS","Navigator Holdings Ltd.","GB","NYSE","Oil, Gas and Consumable Fuels","54.6%","71.0%","10.8%","9.5%","$122.80","$2,093.02","$2.15","20.0%","-5.8%","-20.5%","-5.7%","9.0%","19.9%","$22.22","1.8%","27.4%","1.8%","0.1","0.2","$1,359.61","7.1%","7.0%","26.0%","2.6","0.5","16.2%","41.9%","14.9%","6.8%","20.0%"
"CDRE","Cadre Holdings, Inc.","US","NYSE","Aerospace and Defense","42.6%","-12.3%","14.9%","22.1%","$78.12","$1,615.35","$12.73","11.4%","4.4%","-37.4%","16.2%","6.2%","5.4%","$28.45","-3.9%","-27.9%","15.1%","0.0","-20.2","$1,270.06","2.9%","13.6%","12.2%","3.3","1.4","5.6%","1.3%","14.6%","8.6%",""
"THRM","Gentherm Incorporated","US","NasdaqGS","Automobile Components","24.0%","-15.6%","5.9%","6.3%","$41.21","$1,512.37","$13.14","2.6%","-2.5%","65.8%","8.7%","2.9%","10.0%","$38.62","28.9%","23.8%","5.9%","0.0","2.7","$1,400.46","0.2%","3.8%","5.6%","0.8","1.4","-7.5%","33.5%","15.8%","5.3%","-8.7%"
"VTOL","Bristow Group Inc.","US","NYSE","Energy Equipment and Services","27.2%","-12.9%","15.7%","6.0%","-$34.22","$2,002.80","$16.55","-2.2%","1.7%","2.4%","0.9%","-2.5%","10.3%","$45.35","-0.3%","21.6%","9.0%","0.1","-0.7","$1,345.45","1.2%","9.0%","10.2%","2.8","1.4","17.9%","148.9%","27.4%","9.1%","7.1%"
"AFYA","Afya Limited","BR","NasdaqGS","Diversified Consumer Services","64.0%","16.8%","15.2%","7.0%","$277.09","$1,707.15","$4.26","37.4%","-0.5%","20.1%","-1.2%","21.4%","16.8%","$14.58","2.3%","-2.3%","7.4%","0.0","-5.3","$1,291.78","3.0%","13.9%","32.7%","1.4","0.5","-1.1%","32.4%","4.8%","13.6%","-6.6%"
"YELP","Yelp Inc.","US","NYSE","Interactive Media and Services","89.6%","-4.4%","4.5%","0.4%","$297.43","$1,241.95","$118.01","20.2%","-7.6%","-1.3%","2.3%","24.5%","14.7%","$22.35","-16.6%","-26.0%","1.6%","0.0","-2.6","$1,212.79","28.9%","5.1%","12.2%","0.1","0.6","-20.1%","52.2%","4.0%","19.4%","-10.3%"
"NWPX","NWPX Infrastructure, Inc.","US","NasdaqGS","Construction and Engineering","20.2%","30.4%","8.2%","17.2%","$71.72","$1,375.64","$5.73","13.1%","-1.2%","92.9%","10.5%","5.6%","5.1%","$109.08","-7.5%","110.6%","6.7%","0.0","0.8","$1,279.41","1.8%","7.0%","10.3%","1.3","0.9","60.6%","12.7%","16.8%","8.0%","35.7%"
"PLOW","Douglas Dynamics, Inc.","US","NYSE","Machinery","26.6%","-17.1%","4.9%","19.0%","$63.56","$1,258.66","$6.72","9.7%","0.1%","19.2%","8.6%","6.2%","5.4%","$40.70","6.1%","35.1%","8.8%","0.0","1.5","$1,029.12","0.6%","2.1%","11.2%","2.4","1.3","22.1%","6.3%","13.9%","10.3%","4.0%"
"LMB","Limbach Holdings, Inc.","US","NasdaqCM","Construction and Engineering","23.6%","-14.0%","14.0%","3.2%","$50.61","$533.61","$7.70","7.4%","2.7%","13.3%","-2.1%","10.3%","5.9%","$44.79","-43.7%","-47.9%","12.5%","0.0","-73.2","$491.55","1.0%","10.1%","5.9%","0.7","1.3","3.9%","21.1%","4.9%","12.8%","40.1%"
"RDVT","Red Violet, Inc.","US","NasdaqCM","Software","84.7%","86.2%","23.2%","22.5%","$33.60","$1,126.67","$7.36","33.9%","4.9%","44.8%","4.3%","2.9%","3.2%","$75.56","6.6%","42.4%","15.6%","0.0","2.5","$1,174.00","0.9%","19.9%","18.2%","-2.5","1.7","53.0%","79.7%","9.2%","24.0%","20.6%"
"ITRN","Ituran Location and Control Ltd.","IL","NasdaqGS","Communications Equipment","50.0%","15.7%","10.4%","18.2%","$79.32","$915.62","","20.2%","-0.3%","1.3%","4.9%","7.9%","5.5%","$51.06","-8.8%","19.8%","10.8%","0.1","0.7","$1,008.00","0.7%","8.4%","21.8%","-0.9","0.7","25.9%","14.8%","15.1%","25.3%","18.7%"
"KRT","Karat Packaging Inc.","US","NasdaqGS","Trading Companies and Distributors","35.5%","57.1%","6.4%","1.1%","$51.17","$975.92","$1.23","10.4%","0.1%","21.4%","0.6%","5.4%","8.2%","$47.45","18.0%","113.0%","10.2%","0.0","0.3","$949.55","0.5%","6.6%","7.5%","0.4","1.1","30.0%","18.1%","19.0%","13.6%","21.4%"
"DAKT","Daktronics, Inc.","US","NasdaqGS","Electronic Equipment, Instruments and Components","27.3%","-532.6%","14.8%","17.1%","$34.30","$829.91","$4.91","4.1%","1.9%","-28.9%","1.6%","3.6%","6.2%","$19.36","-5.7%","-1.6%","7.4%","0.0","1.8","$943.41","2.6%","3.6%","7.3%","-1.4","1.7","34.1%","83.1%","18.3%","15.7%","27.4%"
"MITK","Mitek Systems, Inc.","US","NasdaqCM","Software","83.6%","41.4%","2.7%","8.5%","$48.61","$789.42","$16.15","24.6%","-0.3%","42.9%","6.3%","5.8%","6.7%","$17.84","8.7%","85.2%","9.1%","0.0","1.9","$832.96","2.4%","4.3%","18.1%","-0.9","1.2","17.6%","30.9%","13.5%","7.8%","-4.1%"
"YALA","Yalla Group Limited","AE","NYSE","Interactive Media and Services","67.8%","-6.1%","5.2%","-0.5%","$135.32","$4.39","$10.32","39.6%","-0.9%","","4.5%","13.2%","3.1%","$5.44","1.9%","-22.2%","5.8%","0.0","-0.7","$833.54","5.4%","2.9%","30.8%","-7.8","0.2","2.0%","14.2%","5.5%","67.1%","-11.5%"
"PAYS","Paysign, Inc.","US","NasdaqCM","Financial Services","61.0%","115.7%","41.0%","49.3%","$73.51","$681.86","$5.17","73.0%","2.3%","-33.3%","7.2%","10.4%","","$12.40","34.7%","151.2%","27.4%","0.0","0.3","$703.52","0.4%","33.4%","17.6%","-0.8","0.9","76.7%","135.4%","72.6%","8.3%","38.0%"
"OTCM","OTC Markets Group Inc.","US","OTCPK","Capital Markets","59.8%","19.8%","6.7%","18.8%","$48.87","$604.27","$6.94","41.1%","0.3%","5.6%","1.5%","7.6%","6.3%","$55.75","-1.3%","6.9%","6.7%","0.0","2.3","$644.64","1.1%","6.1%","34.7%","-0.9","0.3","3.4%","5.0%","8.2%","49.7%","8.1%"
"NGVC","Natural Grocers by Vitamin Cottage, Inc.","US","NYSE","Consumer Staples Distribution and Retail","33.5%","9.0%","6.9%","1.0%","$22.71","$935.98","$3.64","1.7%","0.4%","6.5%","-3.6%","3.6%","","$27.55","-17.2%","10.8%","3.6%","0.0","2.4","$630.76","0.2%","6.3%","4.6%","3.2","1.2","35.0%","33.6%","5.6%","8.8%","22.6%"
"NRDS","NerdWallet, Inc.","US","NasdaqGM","Consumer Finance","93.5%","52.1%","13.7%","14.5%","$163.40","$581.76","$27.60","19.0%","-6.2%","-48.7%","1.1%","25.9%","22.5%","$9.78","8.6%","-23.6%","7.5%","0.0","0.3","$631.56","25.1%","12.9%","10.4%","-0.5","1.4","2.6%","434.7%","107.4%","18.7%",""
"OOMA","Ooma, Inc.","US","NYSE","Software","61.5%","-787.2%","9.3%","18.1%","$30.30","$660.89","$14.51","9.9%","2.8%","11.5%","1.8%","4.9%","5.6%","$21.88","5.4%","103.2%","12.9%","0.0","1.9","$622.03","2.4%","10.3%","4.1%","1.4","1.3","17.0%","43.9%","17.3%","10.4%","3.4%"
